Drug Name,Usage,Side Effects,Dosage,Contraindications
 Scopolamine,"Scopolamine transdermal patch is used to prevent nausea and vomiting after anesthesia, narcotic pain medicines, and surgery. It is also used to prevent nausea and vomiting caused by motion sickness.","Burning feeling at the application site
feeling of constant movement of self or surroundings
itching, skin rash
lightheadedness
sensation of spinning","Adults—Apply one patch behind the ear the evening before surgery. Leave it in place for 24 hours.
Children—Use is not recommended.","Scopolamine should not be used in individuals who have a known hypersensitivity or allergy to scopolamine or any of its components.  Scopolamine can increase intraocular pressure, which can be dangerous for individuals with narrow-angle glaucoma. It should be avoided in such cases."
Salbutamol,"Salbutamol, also known as albuterol, is a bronchodilator medication primarily used to treat and prevent symptoms of asthma and chronic obstructive pulmonary disease (COPD). It works by relaxing the muscles in the airways, thereby improving breathing and relieving bronchospasms.","Tremors or shaking hands
Headache
Nervousness or anxiety
Increased heart rate
Palpitations
Muscle cramps","Inhaler:
Adults: 1 or 2 inhalations (90-100 mcg per inhalation) every 4 to 6 hours as needed.
Children (4 years and older): 1 inhalation (90-100 mcg) every 4 to 6 hours as needed.
Tablets or Syrup:
Adults: The usual starting dose is 2 or 4 mg three to four times daily, with a maximum daily dose of 32 mg.
Children: The dosage is determined based on body weight and should be determined by a healthcare professional.","Salbutamol can increase blood sugar levels, so caution is advised in individuals with diabetes. Do not use salbutamol if you are allergic to it or any of its components."
Sodium bicarbonate,Sodium bicarbonate is a medication used to treat various conditions related to acidosis (excess acidity) in the body. It works by neutralizing excess acid and restoring the pH balance.,"Metabolic Alkalosis,  Electrolyte Imbalances,Fluid Retention","Metabolic Acidosis:
Adults: The typical oral dose for metabolic acidosis is 325 to 2000 mg (milligrams) taken 1 to 4 times daily or as directed by a healthcare professional.
Children: The dosage for children should be determined by a healthcare professional based on the child's weight and condition.
Indigestion and Heartburn:
Adults: The usual recommended dose is ½ to 1 teaspoon of sodium bicarbonate mixed in water, taken every 2 to 4 hours as needed for relief. Do not exceed the recommended daily dosage.
Children: Dosage should be determined by a healthcare professional based on the child's age and weight.",Individuals with severe heart failure or impaired cardiac function should use sodium bicarbonate with caution due to the risk of fluid retention and electrolyte imbalances. Avoid sodium bicarbonate if you have a known allergy or hypersensitivity to it.
Sotalol,"Sotalol is a medication primarily used to treat certain heart rhythm disorders, particularly atrial fibrillation or ventricular arrhythmias. It belongs to a class of drugs called antiarrhythmics and works by helping to regulate the heart's electrical activity."," Sotalol can slow down the heart rate,Hypotension,Fatigue,Gastrointestinal Disturbances,","Atrial Fibrillation
Initial Dose: The usual starting dose is 80 mg orally twice daily.
Maintenance Dose: The maintenance dosage can range from 80 to 160 mg orally twice daily, adjusted based on the individual's response and tolerability.
Ventricular Arrhythmias:
Initial Dose: The initial dose is typically 80 mg orally twice daily.
Maintenance Dose: The maintenance dosage can range from 160 to 320 mg orally daily, divided into two or three doses.","Do not use sotalol if you have a known allergy or hypersensitivity to it or any of its components.Sotalol may worsen heart failure symptoms, and caution should be exercised or it should be avoided in individuals with uncontrolled heart failure."
Somavert,"Somavert is used for the treatment of acromegaly, a hormonal disorder that causes excessive growth of tissues and bones. It is specifically used in patients who have not responded adequately to other treatment options such as surgery or radiation therapy, or who are not suitable candidates for these treatments"," Common side effects of Somavert include injection site reactions, headache, fatigue, joint pain, nausea, and flu-like symptoms, allergic reactions, and changes in blood sugar levels.","The initial recommended dose is typically 10 mg per day, which may be adjusted based on the patient's insulin-like growth factor 1 (IGF-1) levels and clinical response. The maximum recommended dose is 30 mg per day. It is usually administered once daily as a subcutaneous injection (under the skin). ","Somavert is contraindicated in individuals with a known hypersensitivity to pegvisomant or any of its components. It should not be used in patients with a history of hypersensitivity to growth hormone or with active or suspected cancer, as its effects on tumor growth are not fully understood. "
Telmisartan,"Telmisartan is a medication used to treat hypertension (high blood pressure) and certain cardiovascular conditions. It works by blocking the action of angiotensin II, a hormone that narrows blood vessels.","Common side effects include headache, dizziness, fatigue, nausea, diarrhea, and upper respiratory tract infections. Less common but serious side effects may include allergic reactions and liver problems.","The typical starting dose for adults is 40 mg once daily, adjusted as needed for optimal blood pressure control.",Telmisartan should not be used by those with hypersensitivity to the drug and caution should be exercised in individuals with a history of angioedema.
Temazepam,"Temazepam is a medication that belongs to the class of drugs called benzodiazepines. It is primarily used for the short-term treatment of insomnia, helping individuals with difficulty falling asleep or staying asleep.","Common side effects of temazepam may include drowsiness, dizziness, headache, blurred vision, coordination difficulties, memory problems, and dry mouth. Some individuals may experience more serious side effects such as confusion, depression, hallucinations, suicidal thoughts, and allergic reactions. ","The dosage of temazepam will vary depending on the individual's age, medical condition, and response to treatment. It is usually taken orally as a tablet and is available in strengths ranging from 7.5 mg to 30 mg. The typical starting dose for insomnia in adults is 7.5 mg to 15 mg, taken shortly before bedtime. The maximum recommended daily dose is usually 30 mg.","Temazepam should not be used in individuals who are allergic to benzodiazepines or any of the drug's components. It is contraindicated in patients with severe respiratory insufficiency, sleep apnea, myasthenia gravis, or acute narrow-angle glaucoma. "
Tetracycline,"Tetracycline is an antibiotic medication that belongs to the class of drugs known as tetracyclines. It is commonly used to treat various bacterial infections, including respiratory tract infections, urinary tract infections, acne, Lyme disease, chlamydia, and certain types of sexually transmitted infections.","Common side effects of tetracycline may include nausea, vomiting, diarrhea, stomach upset, loss of appetite, and discoloration of teeth (especially in children). Other potential side effects include photosensitivity (increased sensitivity to sunlight), skin rash, itching, vaginal yeast infections, and oral or vaginal thrush. Rare but serious side effects may include severe headache, blurred vision, yellowing of the skin or eyes (jaundice), and allergic reactions.","The dosage of tetracycline will vary depending on the specific infection being treated, the severity of the infection, and the individual's age and weight. It is typically taken orally as a tablet or capsule, and the usual adult dose ranges from 250 mg to 500 mg every 6 to 12 hours.","It should not be used in children under the age of 8, as it can cause permanent discoloration of teeth and affect bone development.  Tetracycline should be used with caution in individuals with liver or kidney disease, as dosage adjustments may be necessary."
Timolol,"Timolol is a medication that belongs to the class of drugs known as beta-blockers. It is commonly used for the treatment of certain eye conditions, particularly glaucoma and ocular hypertension. ","Common side effects of timolol eye drops may include burning or stinging sensation in the eyes, blurred vision, dry eyes, itching or redness of the eyes, and a temporary decrease in heart rate. Less common but potentially serious side effects can include severe eye pain, eye discharge, eye swelling, changes in heart rhythm, shortness of breath, dizziness, and fainting. ",The usual recommended dose is one drop of timolol 0.25% or 0.5% solution in the affected eye(s) once or twice daily.,"They should not be used in individuals with certain conditions, such as asthma, severe chronic obstructive pulmonary disease (COPD), bradycardia (slow heart rate), heart block, or certain types of heart failure."
Topiramate,Topiramate is a medication that is primarily used for the treatment of epilepsy and migraine headaches. It belongs to the class of drugs known as anticonvulsants or antiepileptic drugs. ,"Common side effects of topiramate may include drowsiness, dizziness, fatigue, difficulty concentrating, memory problems, confusion, tingling or numbness in the extremities, decreased appetite, weight loss, nausea, diarrhea, and taste changes.","Common side effects of topiramate may include drowsiness, dizziness, fatigue, difficulty concentrating, memory problems, confusion, tingling or numbness in the extremities, decreased appetite, weight loss, nausea, diarrhea, and taste changes."," It should be used with caution in individuals with kidney problems, liver disease, glaucoma, metabolic acidosis, or a history of mood disorders. "
Uceris," Uceris (generic name: budesonide) is a medication primarily used for the treatment of inflammatory bowel disease (IBD), specifically for mild to moderate active ulcerative colitis. It belongs to the class of drugs known as corticosteroids, which work by reducing inflammation in the intestines."," Common side effects of Uceris may include headache, nausea, stomach pain, indigestion, diarrhea, flatulence, acne, joint pain, and back pain. Less common but potentially serious side effects can include increased blood pressure, increased blood sugar levels, mood changes, changes in vision, and signs of allergic reactions such as rash, itching, and swelling.","The typical recommended dose for inducing remission in adults with mild to moderate active ulcerative colitis is one 9 mg tablet taken orally once daily in the morning for up to 8 weeks. After achieving remission, the dosage may be tapered down gradually under the guidance of a healthcare professional.",Uceris is contraindicated in individuals who are allergic to budesonide or any of its components. It should be used with caution in individuals with systemic fungal infections or a history of hypersensitivity reactions to other corticosteroids. Uceris is not recommended for use during active infections or for maintenance treatment of ulcerative colitis. 
Unithroid,"Unithroid is a brand name for the medication levothyroxine sodium, which is a synthetic thyroid hormone. It is primarily used for the treatment of hypothyroidism, a condition in which the thyroid gland does not produce enough thyroid hormone. ","Common side effects of Unithroid may include weight changes, hair loss, mood changes, fatigue, increased appetite, heat intolerance, sweating, tremors, headache, and insomnia. In some cases, individuals may experience symptoms of excessive thyroid hormone replacement, such as rapid or irregular heartbeat, chest pain, palpitations, diarrhea, and nervousness."," It is available in tablet form with various strengths, typically ranging from 25 mcg to 300 mcg. The starting dose and subsequent adjustments are determined by the healthcare professional based on laboratory tests and clinical evaluation. It is usually taken orally in the morning on an empty stomach, at least 30 minutes before eating.","Unithroid is contraindicated in individuals who have hypersensitivity or allergy to levothyroxine or any of its components. It should not be used to treat obesity or as a weight-loss medication. Caution should be exercised in individuals with certain medical conditions, including adrenal insufficiency, cardiovascular disorders, and certain types of thyroid disorders."
Urecholine ,Urecholine (generic name: bethanechol) is a medication primarily used to treat urinary retention (inability to empty the bladder completely) and to improve bladder function. ,"Common side effects of Urecholine may include abdominal discomfort or cramps, nausea, vomiting, diarrhea, increased salivation, sweating, flushing, and a drop in blood pressure (hypotension). Less common but potentially serious side effects can include severe abdominal pain, difficulty breathing, chest pain, irregular heartbeat, and signs of allergic reactions such as rash, itching, and swelling.","It is usually taken orally in tablet form. The usual recommended dose for adults with urinary retention is 10 to 50 mg, taken three to four times a day. "," It should not be used in individuals with a history of asthma, chronic obstructive pulmonary disease (COPD), gastrointestinal obstruction, peptic ulcer disease, or a urinary tract infection. Urecholine should be used with caution in individuals with certain cardiovascular conditions, epilepsy, or hyperthyroidism. "
Uroxatral ,"Uroxatral (generic name: alfuzosin) is a medication primarily used to treat symptoms of benign prostatic hyperplasia (BPH), a non-cancerous enlargement of the prostate gland. It belongs to the class of drugs known as alpha-blockers, which work by relaxing the muscles in the prostate and bladder neck, making it easier to urinate and relieving urinary symptoms associated with BPH."," Common side effects of Uroxatral may include dizziness, lightheadedness, headache, fatigue, stomach discomfort, stuffy or runny nose, and decreased sexual desire or difficulty achieving an erection. Less common but potentially serious side effects can include low blood pressure (hypotension), fainting, rapid or irregular heartbeat, and allergic reactions such as rash, itching, and swelling."," It is usually taken orally as an extended-release tablet. The typical recommended dose for adults is 10 mg once daily, taken immediately after the same meal each day. It's important to swallow the tablet whole and not crush or chew it."," It should not be used in individuals with moderate to severe liver impairment or in combination with potent CYP3A4 inhibitors (such as ketoconazole or ritonavir). Uroxatral should be used with caution in individuals with low blood pressure, kidney impairment, or a history of prolonged QT interval. "
Urofollitropin,"Urofollitropin, also known as follicle-stimulating hormone (FSH), is a medication used in assisted reproductive technology (ART) treatments to stimulate the development and maturation of ovarian follicles in women. It is primarily used in fertility treatments such as in vitro fertilization (IVF) and controlled ovarian stimulation.","Common side effects of urofollitropin may include injection site reactions such as redness, pain, or swelling. Other potential side effects can include ovarian hyperstimulation syndrome (OHSS), which can cause abdominal pain, bloating, nausea, vomiting, and weight gain. ","The dosage of urofollitropin will be determined by a fertility specialist based on the individual's specific fertility treatment plan. It is typically administered through subcutaneous injection. The dosage and duration of treatment will vary depending on factors such as age, ovarian reserve, and the desired response to ovarian stimulation. The injections are usually started on specific days of the menstrual cycle and continued for several days or weeks."," It should not be used in individuals with primary ovarian failure or uncontrolled thyroid or adrenal gland disorders. Urofollitropin should be used with caution in individuals with a history of ovarian cysts, fibroids, or abnormal uterine bleeding. "
Valproic acid," Valproic acid is a medication primarily used to treat epilepsy and bipolar disorder. It belongs to the class of drugs known as anticonvulsants or mood stabilizers. Valproic acid works by increasing the levels of a neurotransmitter called gamma-aminobutyric acid (GABA) in the brain, which helps to reduce abnormal electrical activity and stabilize mood."," Common side effects of valproic acid may include drowsiness, dizziness, tremor, headache, gastrointestinal disturbances (such as nausea, vomiting, and diarrhea), weight gain, hair loss, and changes in menstrual periods. More serious but rare side effects can include liver toxicity, pancreatitis (inflammation of the pancreas), low platelet count (increasing the risk of bleeding), and allergic reactions. ","It is available in various forms, including tablets, capsules, and oral solutions. The dosage is usually started low and gradually increased to find the optimal therapeutic dose. The medication is typically taken orally, either once or twice daily, with or without food, as directed by a healthcare professional."," It should not be used in individuals with liver disease, significant bleeding disorders, or a history of pancreatitis. Valproic acid may interact with other medications, so it's important to inform your healthcare provider about all the medications you are taking."
Vancomycin ,Vancomycin is an antibiotic medication used to treat serious bacterial infections. It is primarily used for infections caused by methicillin-resistant Staphylococcus aureus (MRSA) and other resistant bacteria. ,"Common side effects of vancomycin may include nausea, vomiting, stomach pain, diarrhea, dizziness, and headache. More serious but rare side effects can include allergic reactions (such as rash, itching, and swelling), hearing loss or ringing in the ears (tinnitus), kidney damage, and a condition known as ""red man syndrome,"" which is characterized by flushing and a rash on the upper body.","The dosage of vancomycin will depend on the specific infection being treated, the severity of the infection, and the individual's weight and kidney function. It is typically administered intravenously (IV) in a healthcare setting.",Vancomycin is contraindicated in individuals who are allergic to vancomycin or any of its components. It should be used with caution in individuals with pre-existing kidney problems or hearing impairment.
Vasopressin ,"Vasopressin, also known as antidiuretic hormone (ADH), is a medication used to treat certain conditions related to fluid balance and blood pressure regulation. It is a synthetic form of the hormone vasopressin, which is naturally produced by the pituitary gland in the brain. ","ommon side effects of vasopressin may include headache, nausea, abdominal cramps, bloating, and increased thirst. More serious but rare side effects can include chest pain, rapid or irregular heartbeat, shortness of breath, changes in mental state, seizures, and allergic reactions such as rash, itching, and swelling.","The dosage of vasopressin will vary depending on the specific condition being treated and the individual's response to the medication. It is typically administered through injection, either intravenously (IV) or intramuscularly (IM), in a healthcare setting. The dosage and administration will be determined by a healthcare professional and may require continuous monitoring.","It should be used with caution in individuals with cardiovascular disorders, kidney impairment, epilepsy, or a history of hyponatremia (low blood sodium levels). "
Victoza,Victoza (generic name: liraglutide) is a medication primarily used to treat type 2 diabetes. It belongs to the class of drugs known as glucagon-like peptide-1 receptor agonists (GLP-1 agonists)," Common side effects of Victoza may include nausea, vomiting, diarrhea, abdominal pain, loss of appetite, headache, dizziness, and injection site reactions (redness, itching, or pain at the injection site)."," It is usually injected subcutaneously once daily. The starting dose is typically 0.6 mg, and it may be increased gradually to the recommended maintenance dose of 1.2 mg or 1.8 mg, as determined by a healthcare professional.", It should not be used in individuals with type 1 diabetes or diabetic ketoacidosis. Victoza should be used with caution in individuals with a history of pancreatitis or thyroid disease.
Vitamin A,"Vitamin A is essential for the proper functioning of various systems in the body. It is involved in maintaining healthy vision, supporting the immune system, promoting cell growth and development, and ensuring the health of epithelial tissues (such as the skin and mucous membranes)."," Vitamin A is generally safe when consumed in appropriate amounts from dietary sources or as part of a multivitamin supplement. However, excessive intake of vitamin A, especially in the form of supplements, can lead to toxicity and cause symptoms such as nausea, vomiting, headache, dizziness, blurred vision, bone pain, and even liver damage. Pregnant women should avoid excessive intake of vitamin A, as it can harm the developing fetus."," For adult males, the RDA is around 900 micrograms (mcg) of retinol activity equivalents (RAE) per day, and for adult females, it is about 700 mcg RAE per day. It is important to note that vitamin A requirements can be met through a balanced diet that includes foods rich in vitamin A, such as carrots, sweet potatoes, spinach, liver, and dairy products."," individuals with certain medical conditions, such as liver disease or hypervitaminosis A (excessive vitamin A levels), should exercise caution and may require medical guidance to avoid further complications. Pregnant women should avoid consuming excessive amounts of vitamin A, particularly in the form of supplements, as it can harm the developing fetus."
Vitamin C,"Vitamin C is essential for the growth, development, and repair of tissues in the body. It is an antioxidant that helps protect cells from damage caused by free radicals. Vitamin C also plays a role in collagen synthesis, immune function, iron absorption, and the maintenance of healthy skin, blood vessels, bones, and teeth.","Vitamin C is generally considered safe when consumed in appropriate amounts from dietary sources or as part of a balanced multivitamin supplement. However, excessive intake of vitamin C can lead to gastrointestinal side effects such as diarrhea, nausea, and stomach cramps. High doses of vitamin C may also increase the risk of kidney stones in susceptible individuals.","For adult males, the RDA is around 90 milligrams (mg) per day, and for adult females, it is about 75 mg per day. However, certain groups, such as smokers, pregnant or breastfeeding women, and individuals with certain medical conditions, may require higher doses. It is important to note that vitamin C can be obtained through a balanced diet that includes fruits and vegetables, such as citrus fruits, strawberries, kiwi, broccoli, and peppers.","individuals with specific medical conditions, such as a history of kidney stones or certain genetic disorders (such as glucose-6-phosphate dehydrogenase deficiency), may require medical guidance regarding vitamin C supplementation. It is also important to note that high-dose vitamin C supplementation may interfere with certain medical tests or medications, so it's essential to inform your healthcare provider about any supplements you are taking."
Vibramycin,"Vibramycin, also known as doxycycline, is an antibiotic medication that belongs to the class of drugs called tetracyclines. It is used to treat a variety of bacterial infections, including respiratory tract infections, urinary tract infections, sexually transmitted infections, skin infections, and certain types of acne."," Common side effects of Vibramycin may include nausea, vomiting, diarrhea, stomach upset, loss of appetite, and skin sensitivity to sunlight (increased risk of sunburn). Less common but potentially serious side effects can include severe headache, dizziness, blurred vision, fever, chills, easy bruising or bleeding, severe stomach or abdominal pain, and signs of an allergic reaction (such as rash, itching, swelling, or difficulty breathing).","It is available in various formulations, including tablets, capsules, and oral suspensions. The medication is typically taken orally, with or without food, as directed by a healthcare professional.","It should be used with caution in individuals with liver or kidney disease, as well as those with a history of intracranial hypertension (increased pressure in the skull). "
Warfarin ,"Warfarin is an anticoagulant medication commonly prescribed to prevent blood clot formation. It is used to treat and prevent blood clots in conditions such as deep vein thrombosis (DVT), pulmonary embolism (PE), atrial fibrillation, and mechanical heart valve replacement."," Common side effects may include easy bruising, bleeding from the gums or nose, prolonged bleeding from minor cuts, and blood in the urine or stool. Serious side effects can include excessive bleeding, hemorrhage, or the development of blood clots despite treatment."," The dosage may need to be adjusted periodically to maintain the desired INR range. Warfarin is typically taken orally once a day, usually in the evening, with or without food.","It should be used with caution in individuals with a high risk of falls, uncontrolled hypertension, liver disease, or kidney dysfunction."
Wegovy,"Wegovy (semaglutide) is prescribed as an adjunct to a reduced-calorie diet and increased physical activity for chronic weight management in adults with a body mass index (BMI) of 30 kg/m² or greater (obesity) or a BMI of 27 kg/m² or greater (overweight) with at least one weight-related comorbidity, such as high blood pressure, type 2 diabetes, or high cholesterol.","Common side effects of Wegovy may include nausea, diarrhea, vomiting, constipation, abdominal pain, decreased appetite, fatigue, headache, dizziness, and increased heart rate. ","Wegovy (semaglutide) is administered as a once-weekly subcutaneous injection. The recommended starting dose is 0.25 mg per week for four weeks, followed by an increase to 0.5 mg per week. If further weight loss is desired and tolerated, the dose can be increased to 1 mg per week.",Wegovy (semaglutide) is contraindicated in individuals with a personal or family history of medullary thyroid carcinoma (MTC) or multiple endocrine neoplasia syndrome type 2 (MEN 2). It should not be used in combination with other GLP-1 receptor agonists or other weight loss medications. Individuals with a history of pancreatitis or a known hypersensitivity to semaglutide or any of its components should also avoid its use.
Wellbutrin ,"Wellbutrin (bupropion) is used to treat major depressive disorder (MDD), also known as clinical depression. It is also prescribed for seasonal affective disorder (SAD), a type of depression that occurs during certain seasons, usually during the fall and winter. ","Common side effects of Wellbutrin may include dry mouth, headache, nausea, vomiting, constipation, insomnia, increased sweating, tremors, and dizziness. In some cases, it may cause weight loss. Less common but potentially serious side effects can include allergic reactions, seizures, mood or behavior changes, hallucinations, and suicidal thoughts.","It is available in immediate-release tablets, sustained-release (SR) tablets, and extended-release (XL) tablets. The typical starting dose for MDD is 150 mg once daily, which may be increased gradually. For SAD, the recommended starting dose is also 150 mg once daily, usually initiated in the autumn before symptoms appear."," Wellbutrin (bupropion) is contraindicated in individuals with a seizure disorder, eating disorders (such as anorexia or bulimia), a history of bipolar disorder or manic episodes, or a known hypersensitivity to bupropion or any of its components. It should not be used concurrently with monoamine oxidase inhibitors (MAOIs) or within 14 days of discontinuing MAOIs."
Westcort,"Westcort (hydrocortisone cream) is used to relieve inflammation and itching associated with various skin conditions. It is commonly prescribed to treat mild to moderate forms of eczema, dermatitis, allergic reactions, insect bites, and other inflammatory skin conditions. ","Common side effects of Westcort may include mild skin irritation, burning, itching, or redness at the application site. Prolonged use of high-potency corticosteroids or excessive application may increase the risk of more severe side effects, such as thinning of the skin, discoloration, stretch marks, or increased hair growth. ","The dosage of Westcort (hydrocortisone cream) will depend on the specific skin condition being treated, the severity of symptoms, and the individual's response to the medication. It is typically applied to the affected area of the skin 2 to 4 times daily, or as directed by a healthcare professional. The cream should be gently massaged into the skin until it is fully absorbed.","Westcort (hydrocortisone cream) should not be used in individuals with known hypersensitivity to hydrocortisone or any of its components. It should be used with caution in children, pregnant or breastfeeding women, and individuals with certain medical conditions, such as skin infections or conditions that impair the skin barrier function. "
Wormwood,"Wormwood has been traditionally used for various purposes, including digestive disorders, such as indigestion, loss of appetite, and stomach pain. It has also been used as a vermifuge, which means it has been employed to help eliminate intestinal worms. In addition, wormwood has been used in some herbal preparations for its potential antimicrobial and anti-inflammatory properties. ","Wormwood contains thujone, a compound that can be toxic to the nervous system in high doses. Consumption of excessive amounts of wormwood or prolonged use may lead to symptoms such as seizures, hallucinations, tremors, and other adverse neurological effects. ","The dosage of wormwood can vary depending on the preparation and the intended use. However, due to the potential toxicity of thujone, it's important to consult a qualified healthcare professional or herbalist before using wormwood. They can provide guidance on the appropriate dosage and duration of use based on your individual circumstances and health condition.","It is contraindicated in pregnant women, as it may stimulate the uterus and potentially lead to complications. Individuals with a history of seizures or neurological disorders should also avoid the use of wormwood due to its thujone content. "
Xcopri,"Xcopri (cenobamate) is indicated for the treatment of partial-onset seizures in adults. It is prescribed as an adjunctive therapy, meaning it is used in combination with other antiepileptic drugs, to help control seizures that occur in patients with epilepsy. Cenobamate works by modulating sodium currents and enhancing inhibitory neurotransmission in the brain."," Common side effects of Xcopri may include dizziness, sedation, somnolence (excessive sleepiness), headache, fatigue, double vision, coordination difficulties, memory problems, and nausea. It can also cause serious side effects, such as mood or behavioral changes, depression, suicidal thoughts, allergic reactions, and hypersensitivity reactions.","The recommended starting dosage of Xcopri (cenobamate) is 12.5 mg once daily, which is gradually increased over several weeks to the maintenance dosage of 200 mg to 400 mg once daily. The specific dosage and titration schedule will depend on the individual's response, tolerability, and other medications being taken.","Xcopri (cenobamate) is contraindicated in individuals with a hypersensitivity to cenobamate or any of its components. It should not be used in patients with a history of hypersensitivity reactions, including Stevens-Johnson syndrome or toxic epidermal necrolysis. "
Xenical ,Xenical (orlistat) is used to assist with weight loss in individuals who are overweight or obese. It is typically prescribed in combination with a reduced-calorie diet and exercise program. ," Common side effects of Xenical may include oily spotting, gas with discharge, fecal urgency, oily or fatty stools, increased bowel movements, and abdominal discomfort. ","The recommended dosage of Xenical (orlistat) is one 120 mg capsule taken with each main meal that contains fat, up to three times per day. It should be taken within one hour after eating or during the meal. If a meal is missed or does not contain fat, the dose of Xenical can be skipped.",Xenical (orlistat) is contraindicated in individuals with chronic malabsorption syndrome or cholestasis (impaired bile flow). It should not be used during pregnancy or breastfeeding.
Xiaflex,"Xiaflex (collagenase clostridium histolyticum) is primarily used for the treatment of Dupuytren's contracture and Peyronie's disease. Dupuytren's contracture is a condition where the connective tissue in the hand and fingers becomes thickened, leading to the formation of nodules and contractures that can restrict finger movement. Peyronie's disease is characterized by the development of fibrous plaques within the penis, causing curvature and deformity during erection.","Common side effects of Xiaflex may include injection site reactions, such as swelling, bruising, pain, or redness. Other potential side effects include itching, numbness, blistering, bleeding, and swelling of the treated area.", The dosage of Xiaflex (collagenase clostridium histolyticum) is determined by the specific condition being treated and the location of the affected tissue. The medication is administered through injection directly into the affected area by a healthcare professional. The number of injections and treatment sessions will depend on the individual's response and the severity of the condition., Xiaflex (collagenase clostridium histolyticum) is contraindicated in individuals with a known hypersensitivity to collagenase or any of the components of the medication. It should not be used in individuals with active infections in the area to be treated or in individuals who have a history of allergic reactions to other collagenase products.
Xopenex ,"Xopenex (levalbuterol) is used to relieve and prevent symptoms of bronchospasm in individuals with reversible obstructive airway diseases, such as asthma and chronic obstructive pulmonary disease (COPD).","Common side effects of Xopenex may include headache, tremor, nervousness, dizziness, rapid heartbeat, and throat irritation. Less common but potentially serious side effects can include chest pain, irregular heartbeat, high blood pressure, allergic reactions, and paradoxical bronchospasm (worsening of breathing difficulty). "," The dosage of Xopenex (levalbuterol) can vary depending on the individual's age, severity of symptoms, and response to the medication. It is usually administered via inhalation using a nebulizer or an inhaler device. The recommended dose for adults and children over 4 years of age is typically 0.63 mg or 1.25 mg administered three times daily, with a minimum of 4 to 6 hours between doses. "," Xopenex (levalbuterol) is contraindicated in individuals with a known hypersensitivity to levalbuterol or any of the components of the medication. It should be used with caution in individuals with certain medical conditions, such as heart disease, high blood pressure, diabetes, and hyperthyroidism. "
Xylocaine,"Xylocaine (lidocaine) is used for various purposes, including local anesthesia, pain relief, and as a topical numbing agent. It is commonly used during dental procedures, minor surgeries, biopsies, and certain medical treatments. ","Common side effects of Xylocaine may include temporary numbness or tingling at the site of application, skin redness or irritation, itching, and swelling. In some cases, individuals may experience an allergic reaction to lidocaine, which can manifest as hives, rash, difficulty breathing, or swelling of the face, lips, tongue, or throat."," The dosage of Xylocaine (lidocaine) can vary depending on the specific procedure, the area to be anesthetized, and the individual's age and medical condition. The medication is available in various forms, including injectable solutions, topical creams or gels, and sprays. The specific dosage and application instructions should be provided by a healthcare professional.","Xylocaine (lidocaine) is contraindicated in individuals with a known hypersensitivity to lidocaine or any of the components of the medication. It should be used with caution in individuals with certain medical conditions, such as liver disease or heart block. Xylocaine should not be applied to broken or inflamed skin or used near the eyes."
Yasmin ,"Yasmin is used as a contraceptive method to prevent pregnancy. It contains synthetic forms of the hormones progesterone (drospirenone) and estrogen (ethinyl estradiol). These hormones work together to prevent ovulation, thicken the cervical mucus to impede sperm movement, and alter the lining of the uterus to make it less receptive to implantation.","Common side effects of Yasmin may include nausea, breast tenderness, headache, bloating, mood changes, and irregular bleeding or spotting between periods. Some women may experience more serious side effects, such as blood clots, high blood pressure, liver problems, gallbladder disease, or allergic reactions.","Yasmin comes in a 28-day pack, with 21 active hormone pills and 7 placebo pills. One pill is taken orally once daily, at the same time each day, for 21 consecutive days. After finishing the active pills, a placebo pill is taken for 7 days, during which a withdrawal bleed similar to a period occurs. After the placebo week, a new pack is started. ","Yasmin is contraindicated in certain situations, such as in women who are pregnant or breastfeeding, have a history of blood clots, certain cancers, liver disease, or uncontrolled high blood pressure."
Yescarta,Yescarta (axicabtagene ciloleucel) is used for the treatment of adult patients with relapsed or refractory large B-cell lymphoma after at least two other kinds of treatment have been tried. It is specifically used for two types of non-Hodgkin lymphoma: diffuse large B-cell lymphoma (DLBCL) and primary mediastinal large B-cell lymphoma (PMBCL). ,"Yescarta can cause various side effects, including cytokine release syndrome (CRS), which is characterized by fever, chills, low blood pressure, difficulty breathing, and flu-like symptoms. Neurological side effects, such as confusion, seizures, and delirium, can also occur. Other common side effects include fatigue, headache, nausea, diarrhea, and infections. ",Yescarta is administered as a single infusion through a vein (intravenous infusion). The dosage is based on the patient's weight and is calculated by the healthcare provider. The infusion process typically takes about 30 minutes. Patients are monitored closely for several weeks after treatment for potential side effects and complications.," Yescarta is contraindicated in individuals with a known hypersensitivity to axicabtagene ciloleucel or any of the components of the medication. It should not be used in individuals who are pregnant, breastfeeding, or have an active infection. "
Yohimbine ,"Yohimbine is primarily used for its potential effects on sexual dysfunction, particularly erectile dysfunction. It is believed to work by increasing blood flow and improving circulation."," Yohimbine can cause several side effects, particularly at higher doses. Common side effects may include increased heart rate, high blood pressure, anxiety, nervousness, irritability, gastrointestinal distress, dizziness, and headaches.",The appropriate dosage of yohimbine can vary depending on the individual and the condition being treated. It is typically taken orally in tablet or capsule form. Doses commonly range from 5 to 20 milligrams per day.,"It should be used with caution in individuals with certain medical conditions, such as heart disease, kidney disease, liver disease, or mental health disorders. "
